NIM;Kepulauan Asal Lahir;Jurusan Sekolah;Profil Sekolah;Jalur Pendaftaran;IPK1;IPK2;IPK3;IPK4;jumlah Matakuliah D/E/F;jumlah sks d/e/f;IPK 60 SKS;total sks semester 1-3;total SKS semester 1-4;Status
0d7aeab124d15602d97fc53da8032983;Jawa;SMA;NEGERI;TES;0;0;0;0;6;18;0.00;18;18;SISIP
0f1ae77782ef57e29556ef18f1d8fd63;Jawa;SMA;NEGERI;TES;4;3.95;3.83;3.87;0;0;4.00;63;87;TIDAK SISIP
117529560b13dce115bd1dcfe48f4b19;Papua & Maluku;SMA;NEGERI;RAPORT;3.38;3.43;3.21;3.3;2;4;3.48;56;75;TIDAK SISIP
1176829cfa19ef584e9d60a9ab581063;Sumatera;SMA;NEGERI;TES;3.67;3.45;3.16;3.33;0;0;3.57;61;81;TIDAK SISIP
12119e2b728f7b782ab10811acaab32c;Lain-Lain;SMA;SWASTA;TES;3.78;3.61;3.44;3.52;0;0;3.74;61;83;TIDAK SISIP
1427a46183b6c8d1ddb516698747cf24;Sumatera;SMA;SWASTA;RAPORT;2.73;2.89;3.07;3.31;1;3;3.59;60;80;TIDAK SISIP
16381886ebc37c20138c50caa8a68e89;Sumatera;SMK;SWASTA;TES;3.06;3.11;3.14;3.35;0;0;3.52;58;81;TIDAK SISIP
1a3aa19fccdfeece29f40b86cb8c34dd;Jawa;SMK;NEGERI;RAPORT;3.17;3.47;3.5;3.52;0;0;3.77;58;80;TIDAK SISIP
1cb7a181d2098ba7ebbeb74d2dceef52;Jawa;SMA;NEGERI;TES;2.78;2.69;2.54;2.45;2;5;2.64;61;79;TIDAK SISIP
1d8e75fc24acd702120e7b8bd3bb9a64;Jawa;SMA;SWASTA;RAPORT;2.89;3.11;3.14;3.18;0;0;3.38;58;80;TIDAK SISIP
1dcd0e29e3e17d0143dae4a2b298d62e;Jawa;SMA;SWASTA;TES;2.56;2;1.54;1.54;8;24;1.54;54;54;SISIP
1eb2344d5586de0973a2bf125f9e9bb9;Jawa;SMK;SWASTA;RAPORT;3.44;3.37;3.41;3.51;0;0;3.69;58;81;TIDAK SISIP
1ef4e46a1f4024d76a1b26684cd38e8d;Jawa;SMA;SWASTA;TES;2.69;2.7;2.51;2.53;4;11;2.70;57;76;TIDAK SISIP
22da772cfd623c78b2c44747b5c2e8db;Kalimantan;SMA;NEGERI;RAPORT;2.88;2.88;2.67;2.81;2;4;2.98;59;80;TIDAK SISIP
261dda647a6bb478979f80f298b61534;Bali & NTT;SMA;NEGERI;TES;3.61;3.46;3.44;3.58;0;0;3.84;61;81;TIDAK SISIP
279eaaf7e4670b26a0e71bdca52eaedb;Jawa;SMA;NEGERI;TES;3.61;3.61;3.57;3.62;0;0;3.77;61;84;TIDAK SISIP
282cdbba848e0d7461bca563a6a78de2;Kalimantan;SMK;NEGERI;RAPORT;3.22;3.03;3.02;3.23;2;5;3.51;61;83;TIDAK SISIP
28445a283d347f8f4fb65be2c8d9032c;Jawa;SMA;NEGERI;TES;2.5;3.05;2.83;2.77;2;4;3.10;62;85;TIDAK SISIP
2967e19b3968c0480c2206b7a104e7a1;Kalimantan;SMA;NEGERI;TES;2.5;2.58;2.51;2.72;3;9;2.92;58;76;TIDAK SISIP
2eef8ff9cda3267b2597ea46ea2a1bf3;Jawa;SMA;SWASTA;RAPORT;2.93;2.81;2.72;2.79;2;6;3.03;60;80;TIDAK SISIP
2fa17160397e104cc13b9e70675bc8e1;Jawa;SMA;SWASTA;TES;2.44;2.64;2.47;2.4;2;5;2.44;58;78;TIDAK SISIP
2ffc3ff35df9242ec09ec545244b0ee2;Sumatera;SMA;NEGERI;RAPORT;3.72;3.69;3.69;3.73;0;0;3.77;63;85;TIDAK SISIP
3165ebab095d717b0728c3836d16f7c8;Jawa;SMK;NEGERI;TES;3.61;3.53;3.51;3.59;0;0;3.72;61;81;TIDAK SISIP
31d8b61dd7053015c3fd338fc1e355e7;Jawa;SMA;SWASTA;RAPORT;3.11;3.15;3.23;3.29;0;0;3.60;60;82;TIDAK SISIP
35b29daf0df803aacdf86b9d61b84e4f;Jawa;SMA;NEGERI;RAPORT;2.69;2.77;2.69;2.77;5;14;2.82;59;79;TIDAK SISIP
361f2ad04c5620af0903f722dbbd0b05;Kalimantan;SMA;SWASTA;TES;3.33;2.92;3.14;3.29;1;2;3.34;61;81;TIDAK SISIP
